Page ID,Page name,Disclaimer,Amount spent (INR)
103428619189012,Ps Qucik Service,Jotiram Shivaji Jadhav,≤100
340539892805520,Lahu Balwadkar,Shamal Hiralal Khairnar,≤100
106976385494588,Ps Quick Online Services,Jotiram Shivaji Jadhav,≤100
1692446997478851,Divy Trivedi,Vikas Acharya,≤100
112888154977077,केंद्रीय मुद्रा लोन,These ads ran without a disclaimer,≤100
1822357177777568,Bhaiyya Gandhe,Malhar Mahendra Gandhe,≤100
102829655999310,Abdul Hameed Mushriff - ಅಬ್ದುಲ್ ಹಮೀದ್ ಮುಶ್ರೀಫ್,Nitesh Mahesh Pogul,≤100
106177778335243,Aditya Kumar Paswan,Aditya Kumar,≤100
153896938152738,Dr Rutvij Patel,Rutvij Manuprasad Patel,≤100
532976670063093,Shailesh M Parmar,The Signature Design & Web Solutions,≤100
137531946823548,Sony Pictures Networks India,These ads ran without a disclaimer,≤100
1030516517105920,Bannaram Meena - बन्नाराम मीणा,Mahat info tech,≤100
1781479445448595,Rajnish Kumar Singh,Vaibhav Suryawanshi,≤100
367203836657399,Rajendra Singh Surpura,Ganesh Thapa,≤100
108132065348327,NaMo Story,Deepak Pal,≤100
112864374941562,gowthami_vuppala,These ads ran without a disclaimer,≤100
104052753400618,Union Bank of India,Goldmine Advertising Limited,≤100
1574483566114189,Dr. Mamta Pandey,Akash Singh,≤100
100989679394524,Dominic Networks Pvt. Ltd.,Dominic Networks Private Limited,≤100
102061622743982,Rekha Amarnath Jatav,Sandeep Kumar Rana,≤100
1346291785426106,Rita Choudhary,Ganesh Thapa,≤100
111868911739828,Ghulam Nabi Azad Fans,Advertiseyouonline,≤100
72149536933,SKF,These ads ran without a disclaimer,≤100
108052545143472,Raj Bala Prem Tokas,Kuldeep,≤100
109138840964904,Mahendra singh,Mahendra Singh,≤100
104441248861952,Neelam Aggarwal,Pankaj Sharma,≤100
125198490972379,Kunal Vilas Vedepatil,Kiran Vilas Vedepatil,≤100
105682567774739,Tajinder Singh Sran,Tajinder Singh,≤100
101840249362114,Ps Qucik Advisor Online Solution,Maniram Ramu Dhurwe,≤100
777771655697023,Aditya Shankar Prasad,Pramender Kumar,≤100
102488514550471,Shyam Mishra Bjp,Surbhi Kumari,≤100
711397795590368,"Rahul Chimanbhai Mehta , Right to Recall Party",Rahul Chimanbhai Mehta,≤100
246558505475210,Bala Ram Choudhary,Mukesh Choudhary,≤100
1931289673764698,Kunwar Basit Ali,Deepak Chauhan,≤100
104888562462899,Pratibha jha,Kavita Kumari,≤100
106974407572737,Skedoc,These ads ran without a disclaimer,≤100
114382183310283,Büro - Your Office Slice,These ads ran without a disclaimer,≤100
1102369233109531,Pooja Bharti Chhabra,Suraj Bharti Chhabra,≤100
108742684077976,Kunwar Abhishek Singh,Vidhi Agrawal,≤100
1331545046906640,Gottumukkala Venkateshwara Rao,Venkateswar Rao Gottumukkala,≤100
108939271272352,"Hindu Ankit Bhatnagar  प्रदेश अध्यक्ष,अखिल भारत हिंदू महासभा",Ankit Bhatnagar,≤100
105641591260871,Shyam Singh,Shyam Singh,≤100
102157409392910,Arjun Singh Marwah BJP,Anand Raj Singh,≤100
794348367359918,Bharath mudiraj,C Bharath Kumar,≤100
100381598277258,Ashutosh dwivedi,Suraj Kaul,≤100
129310125525826,Weजन News Updates,Prateek Gautam,≤100
106600387541566,Kamal Chib,Kamal Chib,≤100
307988255894298,Abhimanyu Singh Rajvi,Puneet Kumar Bulwani,≤100
115220224403369,Yogesh Shukla,Shreshth Tiwari,≤100
107533605102536,Panchanagouda Dyamanagoudar Official,Sangmesh Kallappa Modi,≤100
968675259869606,Shivraj Singh Dabi,Shivraj Singh Dabi,≤100
354210368277318,Diwan Singh Bisht MLA,Sandeep Bhardwaj,≤100
423928144293931,Mahender Pratap Singh,Pankaj Sharma,≤100
587008988138630,Dinesh Desai,Pixatronix,≤100
261208307785338,Shatrughan Gautam,Shatrughan Gautam,≤100
426868484184031,Vimal Katiyar,Sumeet Kumar,≤100
427724428076206,EvmHatao2,Rahul Chimanbhai Mehta VoteVapsi,≤100
269761569864265,Rao Padma,Kushal Reddy Rao,≤100
109324341847519,Basavaraj Bommai Fans Club,Mohankumar Hp,≤100
491580774286451,Suryakanth Nagamarapalli,Vilas Vijay Kulkarni,≤100
103088902327676,Dwarka Kunj,Rahul Tiwari,≤100
107437671854089,Fareed Mahfooz Kidwai,Qazi Faraz Ahmad,≤100
