Page ID,Page name,Disclaimer,Amount spent (ILS),Number of ads in Library
94762908662,נעמת - תנועת הנשים של ישראל,נעמת | Women @ Work,≤100,3
546024288762312,"ד""ר יחיאל לסרי","ד""ר יחיאל לסרי",≤100,1
158195257562237,מיכאל לייטמן,"בני ברוך קבלה לעם ע""ר",≤100,38
104728241521436,האגודה לתרבות הדיור,האגודה לתרבות הדיור,≤100,2
105934298594064,יוסי כהן - Yossi Cohen,יוסי כהן - Yossi Cohen,≤100,1
271404389601060,Yaakov Hagoel - יעקב חגואל,Yaakov Hagoel - יעקב חגואל,≤100,2
2055858104652943,מרכז יסודות أُسس,מרכז מעשה,≤100,6
107058789108097,יאיר מעיין - Yair Maayan,יאיר מעיין,≤100,1
341448679281672,יריב לוין - Yariv Levin,yariv levin - יריב לוין,≤100,1
246697465679718,עומר רצון - לראשות העיר ראש העין,עומר רצון - לראשות העיר ראש העין,≤100,1
544585708962925,עיריית לוד,עיריית לוד,≤100,1
213683622308164,עמיחי בן שלוש - Amihai Ben Shlush,עמיחי בן שלוש - Amihai Ben Shlush,≤100,1
290003511833151,נאור שירי - Naor Shiri,נאור שירי - Naor Shiri,≤100,19
279345532129864,ההסתדרות הציונית העולמית,ההסתדרות הציונית העולמית,≤100,1
187869851246920,ערב ערב באילת,ערב ערב באילת,≤100,2
403470203161681,"קרן רש""י - Rashi Foundation","קרן רש""י לצמצום פערים חברתיים",≤100,1
104383949185600,יעקב מזרחי - Jakob Mizrahi,יעקב מזרחי - Jakob Mizrahi,≤100,2
108760035823125,The Van Leer Jerusalem Institute - מכון ון ליר בירושלים,The Van Leer Jerusalem Institute - מכון ון ליר בירושלים,≤100,11
1812470472361578,Давид Бен-Авраам депутат городского совета  - דוד בן אברהם,Давид Бен-Авраам депутат городского совета  - דוד בן אברהם,≤100,4
248723598607259,ארגון בזכות,Bizchut,≤100,6
2097145430558097,חיים רוקח - ראש המועצה האזורית גולן,חיים רוקח - ראש המועצה האזורית גולן,≤100,2
994811120638154,כרם נבות كرم نابوت,כרם נבות كرم نابوت,≤100,4
113535078333305,סיעת אזרחים ותיקים פרדס חנה - כרכור,סיעת אזרחים ותיקים פרדס חנה - כרכור,≤100,2
221885774492166,לשכת המסחר,לשכת המסחר,≤100,1
124692413947278,ארי אודס,ארי אודס,≤100,1
401082636658821,איגוד ערים לאיכות הסביבה שרון - כרמל,איגוד ערים שרון כרמל,≤100,1
1376946122530211,ניסן בן חמו - Nisan Ben Hamo,ניסן בן חמו - Nisan Ben Hamo,≤100,2
222479034969365,אדיר נעמן ראש מועצה אזורית שפיר,אדיר נעמן ראש מועצה אזורית שפיר,≤100,2
169302856576651,אדיר בנימיני - סגן ראש עיריית נתניה,אדיר בנימיני - סגן ראש עיריית נתניה,≤100,3
389810911067075,Наш дом Израиль,Avigdor Liberman - אביגדור ליברמן,≤100,4
452342168247343,יוחנן פלסנר - Yohanan Plesner,המכון הישראלי לדמוקרטיה,≤100,8
931632193671798,נתניה חופשית  - אפרים בולמש,נתניה חופשית  - אפרים בולמש,≤100,1
2026942384285541,"פבל פולב - עובד כמוך, עובד בשבילך","פבל פולב - עובד כמוך, עובד בשבילך",≤100,2
478648382205687,מועצה אזורית שער הנגב | Sha'ar HaNegev Regional Council,מועצה אזורית שער הנגב,≤100,1
411177009409267,ענת זנזורי,ענת זנזורי,≤100,1
514120312344782,דובי אמיתי - יו״ר נשיאות המגזר העסקי והתאחדות האיכרים,התאחדות האיכרים בישראל,≤100,2
248788905529463,Детали / новости Израиля,Детали / новости Израиля,≤100,1
1614948598762298,Bardugo LIVE אולפן פתוח,Bardugo LIVE אולפן פתוח,≤100,1
939376299576182,דודו דר - Dudu Dar,דודו דר - Dudu Dar,≤100,1
2000794536638986,אהרון אורגד - מחוברים למען נתניה,אהרון אורגד - מחוברים למען נתניה,≤100,6
110770572052803,הבית של האזרחים הותיקים והתרבות - בראשות שוקי קרומר,הבית של האזרחים הותיקים והתרבות - בראשות שוקי קרומר,≤100,2
155300937864628,המרכז להעצמת האזרח,המרכז להעצמת האזרח,≤100,2
914741188600735,עומדים ביחד نقف معًا,עומדים ביחד نقف معًا,≤100,3
168898066479983,עיריית עכו,עיריית עכו,≤100,3
34775063966,גדעון סער | Gideon Saar,גדעון סער | Gideon Saar,≤100,1
109913515759452,Bokra Net بُــــكرا,Bokra Net بُــــكرا,≤100,5
1230703323658792,מרכזים לצדק חברתי,מרכזים לצדק חברתי,≤100,3
110897178941008,מרכז אדוה,מרכז אדוה,≤100,1
370270343005611,ישראל ביתנו,ישראל ביתנו,≤100,4
262320240909972,רז שגיא לראשות העיר ראש העין,רז שגיא לראשות העיר ראש העין,≤100,3
106285879037393,אודי דניאלי לראשות מועצת באר טוביה,אודי דניאלי לראשות מועצת באר טוביה,≤100,4
1244297295663794,שלמה נאמן - Shlomo Neeman,These ads ran without a disclaimer,≤100,3
101189206302646,"עמית אדר - עו""ד הסדרי חובות, פשיטת רגל, חדלות פירעון",These ads ran without a disclaimer,≤100,1
161804953943328,Яир Лапид,יש עתיד - בראשות יאיר לפיד,≤100,1
142354389182578,הפורום לחשיבה אזורית,הפורום לחשיבה אזורית,≤100,5
103810991865051,שמעון סויסה ראש מועצת חצור הגלילית,יחסי ציבור,≤100,1
486282138416438,משה אטיאס - Moshe Atias,משה אטיאס - Moshe Atias,≤100,1
2036461326389031,Nir A. Cohen,Nir A. Cohen,≤100,2
501178966564217,פורום קהלת Kohelet Forum,פורום קהלת Kohelet Forum,≤100,2
108817672183005,"נשר מספר אח""ת","נשר מספר אח""ת",≤100,2
561508917249930,Gal Sharabi - גל שרעבי - דמאיו,Gal Sharabi - גל שרעבי - דמאיו,≤100,1
104221385973111,אלי אנקונינה-  ראש  העיר אור עקיבא,אלי אנקונינה-  ראש  העיר אור עקיבא,≤100,2
116877711723730,ממרי,ממרי,≤100,4
537993479619524,אבי אלקבץ עפולה אחת,אבי אלקבץ עפולה אחת,≤100,1
108433902545902,Geneva Initiative,יוזמת ז'נבה,≤100,1
106325622347502,אלחנן שורץ לראשות מועצה אזורית חוף הכרמל,אלחנן שורץ לראשות מועצה אזורית חוף הכרמל,≤100,1
104540012690001,אלדר סיון לראשות מ.א. עמק יזרעאל,אלדר סיון לראשות מ.א. עמק יזרעאל,≤100,1
378985879235977,ערן דורון- Eran Doron,ערן דורון- Eran Doron,≤100,2
1822651321364643,121 - מנוע לשינוי חברתי,121 - מנוע לשינוי חברתי,≤100,5
