Page ID,Page name,Disclaimer,Amount spent (INR),Number of ads in Library
108410747409311,Vivek Raj,Vivek Raj,996,1
715515095146698,Gandra Venkataramana Reddy,Goutham Reddy Gandra,995,9
823424207697011,"Sri Umamaheshwara Temple, Shivapady",Vijay S,992,3
487023337998608,Mukesh Sharma,GST Industrial and Marketing Services,989,11
100621439471584,Mana LB Nagar - Mana Vanga Madhu Anna,Gogireddy Sai Vaibhav Reddy,983,8
102519939308428,टीम: संजय कुमार झा,Summit Polcom,979,1
184037471806795,Om Rajenimbalkar - ओम राजेनिंबाळकर,Sagar Sarangdhar Randive,973,1
102057352211388,Lokmat Mumbai,Pranoti Vasant Dalvi,972,1
157411781636662,Hoodi Vijaykumar,Sharva Creative Communications,970,8
210251616112761,India Development Review,India Development Review,965,8
448753815559494,K N Chakrapani,Kodigehalli Nanjundappa Chakrapani,965,6
147699975283367,Ranajagjitsinha Patil,Trimurti Techserv Pvt. Ltd.,944,2
104390600970428,Sunil Musepur Yadav,Navdeep Yadav,942,1
107567597838557,Dr CM Rajesh Gowda,Nagendra H N,942,3
22390992794,Deepender Singh Hooda,Abhishek Bhadaoriya,937,2
