Page ID,Page name,Disclaimer,Amount spent (PLN),Number of ads in Library
1730817716960186,Marcin Magier - Radny Miasta Świdnik,Marcin Magier,≤100,1
370497223497656,Medica Centrum,Lucyna Kowzan,≤100,1
114118277053586,HSI Europe,These ads ran without a disclaimer,≤100,1
1309058125844574,Rząd Dla Łodzi,Sławomir Pietrzak,≤100,1
879602158761197,Fundacja Rozwój TAK - Odkrywki NIE,Tomasz Wacław Waśniewski,≤100,1
624879054590925,Marcel Bielecki,Marcel Bielecki,≤100,1
1576591379231457,Paweł Kobyliński - Poseł na Sejm RP VIII kadencji,Paweł Kobyliński - Poseł na Sejm RP VIII kadencji,≤100,1
939933832712668,Bartosz Szymanski,Bartek Szymanski,≤100,1
104889054842752,II wojna światowa w kolorze,These ads ran without a disclaimer,≤100,1
101135601598472,Michał Moskal,Michał Moskal,≤100,1
103679182581262,Rafał Rajczakowski,Rafał Rajczakowski,≤100,1
829469083799629,Kancelaria Usług Księgowych Hejne,These ads ran without a disclaimer,≤100,1
103449961016967,Magdalena Filiks - Posłanka na Sejm RP,Magdalena Filiks - Posłanka na Sejm RP,≤100,1
352969621437965,Magna Polonia,Fundacja Magna Polonia,≤100,5
103597027708447,SuperPlanet Games,These ads ran without a disclaimer,≤100,2
351578864922659,Stanisław Kaup,Stanisław Paweł Kaup,≤100,1
694438127592755,Dariusz Standerski,Dariusz Standerski,≤100,1
109104492038939,Algorytmiczny Trader,These ads ran without a disclaimer,≤100,1
529910747044782,TestArmy - Cybersecurity and Software Testing Services,These ads ran without a disclaimer,≤100,1
