Page ID,Page name,Disclaimer,Amount spent (COP),Number of ads in Library
348250701862191,Guillermo Velandia Granados,Guillermo Velandia Granados,29424,4
1519510178128827,Carlos Andrés Hernández Zuluaga,Carlos Andrés Hernández Zuluaga,28220,3
101380345769714,Belen Caro,Belen Caro,28183,5
1891453157766910,Alcaldía Municipal Rovira - Tolima,Space Marketing,27483,1
143057523068134,Jorge Camacho,Jorge Camacho,27142,1
1618805941666374,Paola Castillo Gutierrez,Paola Castillo,27060,4
1595888870671480,Carlos Arias Concejal Cali,Carlos Arias Concejal Cali,27001,6
305443930185737,Juan Pérez,Juan Pérez,26958,10
114891091473899,Luis Francisco Oliveros,Luis Francisco Oliveros,26943,1
115319529898970,Centro de Desarrollo Comunitario Turbaco,Centro de Desarrollo Comunitario Turbaco,26394,2
228376881369888,Fredy Sanchez K,Fredy Sanchez K,26259,1
116058284714214,Ruso Alcalde,Ruso Alcalde,26137,2
522187768136092,Yuber Molina,These ads ran without a disclaimer,26085,7
2098087750318204,Amed Velasquez,Amed Velasquez,25594,2
101040961815188,Santander Se Conecta,Santander Se Conecta,25466,2
122737502729878,Gobernación del Guainía,Gobernación del Guainía,25460,8
287517401455925,Marcela Amaya,Marcela Amaya,25349,2
102649172879833,Colombia al Día,Colombia al Día,25021,6
1857540077811459,Movilizatorio,Movilizatorio,24904,1
107320671794776,Rocío Buitrago,Rocío Buitrago,24701,9
106055745683525,Carlos Alberto Llanos Cerquera,These ads ran without a disclaimer,24130,1
166059236849588,G Garcia Realpe,G Garcia Realpe,23255,2
559578904170266,Oswaldo Avellaneda,Oswaldo Avellaneda,23133,1
1535486953389914,Emerson Meneses Gonzalez,Emerson Meneses Gonzalez,23042,3
407615769604377,Mutante,Fundación Mutante,22926,3
330340040416776,Institución Universitaria Colegio Mayor del Cauca,These ads ran without a disclaimer,22636,1
350160788433059,Proclama Cauca y Valle,Proclama Cauca y Valle,22290,3
1477372742560381,José Hugo Restán Sánchez,Fundación Política,22219,1
258948700872338,Isvimed Alcaldía de Medellín,Eikon Digital S.A.S.,22198,4
101170393279528,Rodrigo Villalba Mosquera,Rodrigo Villalba Mosquera,21792,1
207832423191171,Emiro Arias,Emiro Arias,21604,1
121667137935541,Idartes,IDARTES,21512,1
482002058626250,Surany Arboleda Arias,Surany Arboleda Arias,21319,2
120353767717013,Victoria Feuillet,Victoria Feuillet,21288,4
101672785855145,Irina Salas,Irina Salas,21123,5
102261129532173,Colegio ITEC,These ads ran without a disclaimer,20987,1
516970312019359,TPM Teatro Popular de Medellín,These ads ran without a disclaimer,20827,1
1597659560553215,Colombia+20,COMUNICAN SAS EL ESPECTADOR,20746,4
100563549504491,Juan Torres Ortega,Pacto por el Cambio,20650,1
1037508046302965,Griselda Janeth Restrepo Gallego,Griselda Janeth Restrepo Gallego,19591,2
466445923412524,Miguel Ángel Barreto,Miguel Ángel Barreto,19539,3
1458739367777443,Wilson Gonzalez Piedecuesta,Wilson Gonzalez Piedecuesta,19378,2
107659344462703,Nelson Guevara Farfán,Nelson Guevara Farfán,19348,3
525412060949863,Americo Donado Concejal,Americo Donado Concejal,18999,1
103569201537524,Jhosedt Ruiz Villanueva,Space Marketing,18644,1
1387946517884556,JOSE CRUZ,JOSE CRUZ,18590,1
462660883763346,Ronald Mayorga,Ronald Mayorga,18445,1
185732238244544,Santiago Castro Gómez,Santiago Castro Gómez,18395,1
239236602764520,Claudia Lucía Ramírez,Claudia Lucía Ramírez,18314,4
103727635426939,Alexandra Vásquez Ochoa,Alexandra Vásquez Ochoa,18160,1
204727076205320,Ritter López,Ritter López,17758,1
1890977487839058,Harry Silva LLinás,Harry Silva LLinás,17758,9
